H.t,DD.t.i,UD.t.i,label
0.42105263157894735,0.03381043386329444,0.044860943168077386,s002
0.25927523727351165,0.025861017362664176,0.044538492543329304,s002
0.27523727351164795,0.02602366527060546,0.0439540507859734,s002
0.41673856773080237,0.05050217541576872,0.06160822249093108,s002
0.34598792062122513,0.03385109584027976,0.04840790004030633,s002
0.31061259706643657,0.026186313178546743,0.0424627166465135,s002
0.3334771354616048,0.027589151384540322,0.04278516727126159,s002
0.31276962899050903,0.027792461269466925,0.0439540507859734,s002
0.29249352890422775,0.02612532021306876,0.04324869004433696,s002
0.27523727351164795,0.029398609360387105,0.047299476017734786,s002
0.33779119930974977,0.03149270117513114,0.04645304312777106,s002
0.315358067299396,0.030598137681454078,0.0466142684401451,s002
0.34814495254529765,0.031228398324726556,0.04570737605804111,s002
0.3071613459879206,0.03879152604399626,0.055118903667875856,s002
0.27868852459016386,0.03126906030171187,0.04899234179766224,s002
0.3528904227782571,0.027853454234944907,0.04214026602176542,s002
0.3015530629853322,0.028930996625055914,0.045606610237807335,s002
0.29680759275237273,0.028056764119871513,0.044961708988311165,s002
0.32096635030198445,0.0379986174927825,0.05368802902055623,s002
0.274374460742019,0.028605700809173348,0.046553808948004836,s002
0.33132010353753233,0.03289553938112471,0.04814590890769851,s002
0.2730802415875755,0.027202862603179768,0.04522370012091898,s002
0.29119930974978425,0.03165534908307242,0.04879081015719468,s002
0.3175150992234685,0.03525393404627333,0.0511285771866183,s002
0.29119930974978425,0.033159842231529305,0.05028214429665458,s002
0.31276962899050903,0.03031350384255683,0.04645304312777106,s002
0.315358067299396,0.029093644532997197,0.04512293430068521,s002
0.28213977566867987,0.025047777822957754,0.04266424828698105,s002
0.2877480586712683,0.02848371487821738,0.04580814187827489,s002
0.34383088869715267,0.03364778595535315,0.04830713422007255,s002
0.360655737704918,0.045175456430691666,0.05894800483675937,s002
0.27782571182053495,0.026674256902370595,0.04447803305118904,s002
0.28559102674719583,0.0267759118448339,0.044216041918581216,s002
0.27653149266609145,0.027467165453584356,0.04532446594115276,s002
0.3403796376186367,0.030272841865571505,0.04512293430068521,s002
0.33132010353753233,0.028443052901232058,0.04373236598145909,s002
0.3287316652286454,0.03905582889440085,0.05437323659814591,s002
0.33002588438308883,0.028219412027812796,0.043571140669085046,s002
0.31190681622088007,0.03106575041678527,0.04723901652559452,s002
0.28559102674719583,0.029296954417923803,0.04671503426037888,s002
0.31276962899050903,0.029764567153254994,0.045908907698508666,s002
0.2959447799827437,0.03584353271256049,0.05272067714631197,s002
0.31967213114754095,0.0307404546009027,0.046553808948004836,s002
0.29119930974978425,0.03116740535924857,0.04830713422007255,s002
0.3787748058671268,0.03631114544789168,0.04931479242241032,s002
0.2661777394305435,0.02838205993575408,0.04671503426037888,s002
0.3528904227782571,0.036921075102671494,0.0511285771866183,s002
0.3904227782571182,0.03165534908307242,0.04415558242644095,s002
0.29378774805867125,0.033708778920831135,0.05070536074163644,s002
0.3231233822260569,0.04468751270686781,0.06021765417170495,s002
0.3062985332182916,0.028829341682592612,0.04528415961305925,s002
0.2411561691113028,0.01984304476883666,0.039419588875453444,s002
0.3347713546160483,0.02630829910950271,0.041455058444175734,s002
0.28688524590163933,0.024539503110641243,0.04193873438129786,s002
0.31406384814495253,0.02451917212214858,0.04064893188230552,s002
0.31406384814495253,0.02431586223722198,0.04044740024183797,s002
0.27523727351164795,0.016630748586996303,0.03464328899637243,s002
0.3446937014667817,0.026226975155532063,0.040910923014913336,s002
0.3231233822260569,0.03456268043752288,0.050181378476420804,s002
0.3071613459879206,0.030638799658439395,0.04703748488512696,s002
0.28559102674719583,0.05643882405562559,0.07361950826279726,s002
0.31622088006902505,0.028585369820680682,0.04457879887142281,s002
0.33779119930974977,0.02752815841906234,0.042523176138653765,s002
0.2903364969801553,0.026633594925385275,0.04385328496573962,s002
0.32786885245901637,0.029032651567519215,0.04447803305118904,s002
0.32096635030198445,0.029032651567519215,0.04480048367593712,s002
0.3175150992234685,0.030049200992152244,0.04596936719064893,s002
0.31190681622088007,0.027853454234944907,0.04405481660620718,s002
0.2993960310612597,0.025332411661855004,0.04214026602176542,s002
0.31406384814495253,0.02451917212214858,0.04064893188230552,s002
0.24805867126833478,0.02409222136380271,0.04330914953647723,s002
0.27782571182053495,0.02228276338795593,0.04012494961708988,s002
0.36540120793787745,0.03633147643638434,0.04995969367190649,s002
0.3688524590163934,0.03289553938112471,0.04639258363563079,s002
0.33563416738567725,0.0291952994754605,0.04427650141072148,s002
0.36281276962899045,0.031004757451307284,0.04480048367593712,s002
0.29810181190681617,0.028178750050827473,0.04502216848045143,s002
0.315358067299396,0.025881348351156835,0.04193873438129786,s002
0.3503019844693701,0.028056764119871513,0.0424627166465135,s002
0.2842968075927524,0.027040214695238485,0.044538492543329304,s002
0.3528904227782571,0.03263123653072013,0.04687625957275292,s002
0.3688524590163934,0.02935794738340178,0.04288593309149537,s002
0.3244176013805004,0.027792461269466925,0.043409915356711,s002
